year,d13C
1851.089368,-24.3974706
1854.054163,-24.12334683
1857.183668,-24.31020628
1860.148463,-24.51034509
1863.113258,-24.31671046
1865.913342,-24.4200997
1869.042847,-24.60235203
1871.67822,-24.81577019
1874.972437,-24.42037071
1877.772521,-24.5974739
1880.572604,-24.59760941
1883.784465,-24.49959514
1887.161037,-25.08880994
1889.79641,-24.77877771
1889.878766,-24.43541161
1892.267073,-24.91915944
1894.573024,-25.19328321
1894.82009,-25.00288259
1896.384843,-24.80709796
1898.196662,-25.29667245
1899.84377,-24.72376325
1900.502614,-25.09653364
1902.314433,-25.08989397
1904.024256,-25.09333333
1904.455673,-25.0249358
1904.906284,-24.94222222
1906.432203,-24.87552728
1908.244022,-25.2871872
1909.206174,-24.84444444
1909.84045,-24.94082959
1910.714684,-24.98916059
1910.749724,-24.90666667
1912.855925,-25.40114572
1915.079521,-25.35500675
1915.98543,-25.21261505
1918.950225,-25.30122537
1920.185556,-25.28031039
1922.244442,-25.3099518
1924.879815,-25.1439599
1924.912757,-25.34895235
1924.972437,-25.25333333
1927.844609,-25.34599576
1930.063361,-25.3517675
1931.385892,-25.29524966
1934.927175,-25.76777328
1934.927175,-25.41547523
1939.636163,-25.47555556
1939.754469,-25.57253275
1944.835164,-25.41336537
1944.892179,-25.5322861
1945.148842,-25.32444444
1949.833504,-25.73950723
1949.915859,-25.5748538
1954.774828,-25.7408984
1954.939539,-25.49681126
1959.798508,-25.3625686
1959.880864,-26.01355986
1965.069254,-25.68071975
1967.29285,-26.01438982
1969.845868,-25.94778228
